panel,observable,group,group_label,bin_left,bin_right,bin_center,count,density,total_count,in_range_count
A,chi2_contribution,utility,utility-selected,5.732142857142857,5.785714285714286,5.758928571428571,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,5.785714285714286,5.8392857142857135,5.8125,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,5.8392857142857135,5.892857142857142,5.866071428571428,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,5.892857142857142,5.946428571428571,5.919642857142857,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,5.946428571428571,6.0,5.973214285714286,0,0.0,20000,19999
B,mode_residual_normalized,all,all checkpoints,0.0,0.008928571428571428,0.004464285714285714,69805,3.8703762376237623,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.008928571428571428,0.017857142857142856,0.013392857142857142,15613,0.8656712871287129,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.017857142857142856,0.026785714285714284,0.02232142857142857,17536,0.9722930693069307,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.026785714285714284,0.03571428571428571,0.03125,19549,1.0839049504950495,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.03571428571428571,0.04464285714285714,0.040178571428571425,22207,1.2312792079207922,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.04464285714285714,0.05357142857142857,0.04910714285714285,24221,1.3429465346534653,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.05357142857142857,0.0625,0.05803571428571429,26481,1.4682534653465347,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.0625,0.07142857142857142,0.06696428571428571,28541,1.5824712871287128,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.07142857142857142,0.08035714285714285,0.07589285714285714,30638,1.6987405940594058,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.08035714285714285,0.08928571428571427,0.08482142857142856,32319,1.7919445544554455,2020000,1870772
B,mode_residual_normalized,all,all checkpoints,0.08928571428571427,0.09821428571428571,0.09375,33532,1.8592,2020000,1870772
