task,task_label,variant,method_label,metric,count,mean,std,ci95_low,ci95_high,min,max
alanine_transport,"Ala.
trans.",A3,A3 iso.,R_high_E,10,0.104503905,0.03173040032613632,0.08180534399805864,0.12720246600194135,0.0627958,0.14543492
alanine_transport,"Ala.
trans.",A3,A3 iso.,Ubar,10,0.622949878,0.02373839032789006,0.6059684565427461,0.6399312994572539,0.595619,0.66271387
alanine_transport,"Ala.
trans.",A4,A4 NoiSDE,A_swap,10,0.339662699,0.02482067220721044,0.32190705972618694,0.3574183382738131,0.2987193,0.37309176
alanine_transport,"Ala.
trans.",A4,A4 NoiSDE,R_high_E,10,0.06561378799999999,0.041726658887942455,0.03576433440218308,0.09546324159781691,0.0181127,0.12374007
alanine_transport,"Ala.
trans.",A4,A4 NoiSDE,Ubar,10,0.737685573,0.04385026061175925,0.706316986243558,0.7690541597564421,0.6825381,0.79380282
alanine_transport,"Ala.
trans.",A5,A5 over-noise,A_swap,10,0.036381856000000004,0.011853362431758621,0.0279024713256827,0.04486124067431731,0.0231793,0.06615412
alanine_transport,"Ala.
trans.",A5,A5 over-noise,R_high_E,10,0.33339204100000003,0.047350938536715986,0.29951922011442444,0.3672648618855756,0.25,0.4067325
alanine_transport,"Ala.
trans.",A5,A5 over-noise,Ubar,10,0.232330341,0.08925512223906373,0.16848107291464476,0.29617960908535523,0.13007047,0.3523363
alanine_transport,"Ala.
trans.",B1,B1 learned,A_swap,10,0.26928156,0.02616632141786461,0.2505633012703558,0.28799981872964414,0.2349202,0.31742017
alanine_transport,"Ala.
trans.",B1,B1 learned,R_high_E,10,0.09760452,0.043376528696154715,0.0665748206409558,0.1286342193590442,0.0399806,0.14893067
alanine_transport,"Ala.
trans.",B1,B1 learned,Ubar,10,0.641389526,0.02641402360222403,0.6224940718021548,0.6602849801978452,0.6025297,0.67551216
alanine_temperature_fe,"Ala.
temp. FE",F0,F0 det.,A_swap,10,0.10488178100000001,0.022470024371362668,0.08880769388902313,0.12095586811097689,0.0815145,0.14486334
alanine_temperature_fe,"Ala.
temp. FE",F0,F0 det.,R_high_E,10,0.14489179000000002,0.0812378197666611,0.08677775460538863,0.20300582539461143,0.0631877,0.23572973
alanine_temperature_fe,"Ala.
temp. FE",F0,F0 det.,Ubar,10,0.275743111,0.039167137453067415,0.24772462873655457,0.30376159326344543,0.22760143,0.3215001
alanine_temperature_fe,"Ala.
temp. FE",A2,A2 fixed,A_swap,10,0.213334799,0.03418988533803706,0.1888768284097086,0.2377927695902914,0.1742721,0.26235126
alanine_temperature_fe,"Ala.
temp. FE",A2,A2 fixed,R_high_E,10,0.11248693300000001,0.048869405442338094,0.07752786632702724,0.14744599967297278,0.0347516,0.16167485
alanine_temperature_fe,"Ala.
temp. FE",A2,A2 fixed,Ubar,10,0.491970364,0.035513660533498685,0.4665654216817064,0.5173753063182935,0.4507656,0.55474784
alanine_temperature_fe,"Ala.
temp. FE",A3,A3 iso.,A_swap,10,0.251278829,0.040589368106887416,0.222242944216487,0.28031471378351297,0.2053517,0.32150466
alanine_temperature_fe,"Ala.
temp. FE",A3,A3 iso.,R_high_E,10,0.099455104,0.025595294986251852,0.08114533297169149,0.11776487502830851,0.0613552,0.1283747
alanine_temperature_fe,"Ala.
temp. FE",A3,A3 iso.,Ubar,10,0.607866808,0.03159944534881017,0.5852619265454578,0.6304716894545422,0.5563641,0.66246689
alanine_temperature_fe,"Ala.
temp. FE",A4,A4 NoiSDE,A_swap,10,0.328168148,0.051194714675301706,0.29154565530875143,0.36479064069124856,0.2720315,0.38993613
alanine_temperature_fe,"Ala.
temp. FE",A4,A4 NoiSDE,R_high_E,10,0.064599149,0.034520767659775624,0.03990447945579529,0.0892938185442047,0.0261905,0.10392045
alanine_temperature_fe,"Ala.
temp. FE",A4,A4 NoiSDE,Ubar,10,0.725291455,0.06764621073553828,0.6769002709888097,0.7736826390111904,0.6469888,0.81578281
