tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,6.264768,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_009,0.054,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.054,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_009,0.054,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.012176,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_009,0.054,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.209004,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.20388,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.075218,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.01797,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,5.864386,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.06,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.009854,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_010,0.06,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.223947,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.216033,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.091333,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.007272,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,5.451196,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.066,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.012661,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_011,0.066,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.235722,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.224091,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.091765,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.010815,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_012,0.072,,D09,FALSE,FALSE
